Appt,Name,Charity,Registered Number,Date
A238,T5356125511958515365,Cloonfad N S,20133535,2016-11-01
A239,T932102259218182288,Saint Patrick's National School-Drogheda,20023232,2015-12-10
A240,T5305083480739639603,Employment Response Northwest Limited,20062880,2004-10-15
A241,T7729183122780089535,A-Z Children Limited,20053406,2014-05-10
A242,T2546928205497734846,Saint Patrick's College,20000066,2016-10-04
A243,T5684440657493099263,Ballinskelligs Community Care,20047214,2004-04-01
A244,T6647077185808863692,Saint Patrick's College,20000066,2018-06-11
A245,T4975626313371247165,Sn Na Croise Naofa,20115982,1971-01-04
A246,T6751568986208480878,Irish Primary Principals' Network Limited,20063634,2016-01-04
A247,T8987200301530814225,Glencar Community Resource Trust Ltd,20041663,2000-01-20
A248,T1647409745515573163,Irish Red Cross Society,20005184,2016-07-09
A249,T1340191516390874907,Clontibret N S,20132033,2015-11-30
A250,T7795435002143994229,Roscommon Integrated Development Company Limited T/a Roscommon LEADER Partnership,20070878,2018-02-15
A251,T1863075224313107116,Clooncagh N S,20133627,2015-11-01
A252,T8361613597474651328,C.B.S. James Street,20145378,2013-09-02
A253,T8361613597474651328,St. Joseph's National School (Mulhussey),20131661,2015-10-22
A254,T1406877947076531693,Glencree Society,20054038,1998-05-01
A255,T7184182105602101159,Saint Peters Parish Almshouse Charity-Dublin,20022976,2018-04-30
A256,T1856835425674390436,Ennis N S,20110536,2019-12-01
A257,T4611884330177835798,A-Z Children Limited,20053406,2008-05-05
A258,T5290744855824957691,Clonmore N S,20134822,2015-12-14
A259,T5506070470616392527,Irish Skin Foundation,20078706,2015-01-01
A260,T46711572192376177,Saint Patrick's Missionary Society Benevolent Trust,20024468,1990-05-09
A261,T5578242427148572639,Ballintubber N S (Mayo),20129330,2016-10-01
A262,T5578242427148572639,Ballintubber Resource Centre Limited,20054830,2002-12-19
A263,T6177376889316212096,Roscommon Integrated Development Company Limited T/a Roscommon LEADER Partnership,20070878,2008-10-11
A264,T8971181478625607666,TU Dublin Foundation,20045807,2006-10-04
A265,T2174641830927048362,Saint Patrick's Loreto Primary School-Bray,20014322,2006-09-01
A266,T4343340063915237128,Cloontagh Mixed N S,20128388,2016-01-18
A267,T7495308441142906493,Offaly Heritage Centre Limited,20025953,2011-01-01
A268,T8264614122076212941,Ballyadams N S,20126063,2015-12-14
A269,T4117900339119781526,Irish Rule of Law International,20073541,2015-06-30
A270,T2507182104918416532,Saint Peter's National School - Drogheda.,20018504,2015-11-17
A271,T2916560803630677095,Ennis N S,20110536,2018-07-13
A272,T4218689203806724566,Glengoole Community Development Association Ltd,20056421,2003-03-05
A273,T3116608837752972147,Dalkey Meals-On-Wheels,20014148,2016-05-31
A274,T8883638835064188981,Daingean Community Childcare Services Limited,20059767,2015-05-12
A275,T3083898593983326346,Glin Day Care Centre Limited,20074395,2012-12-01
A276,T3179137787842176912,Roscommon S P C A,20072735,2017-10-12
A277,T2867541385077853055,Saint Philomena's National School,20019310,2015-12-01
A278,T5065188846455206025,Rooskey N S,20133207,2015-12-08
A279,T8661945084639030538,Glenbrohane Community Association,20141790,2015-01-01
A280,T6459395112243046419,Ennis Book Club Festival CLG,20153748,2017-11-16
A281,T1982447632422417616,Offaly Association for People with an Intellectual Disability,20017279,1990-01-01
A282,T200357766501440857,Glin Homes for the Elderly Limited,20052126,2012-01-23
A283,T8102949102942199540,Milltown Community Care Association,20026219,2000-11-01
A284,T6897664158230691257,Abbey Vocational School - Parents Association,20017286,2015-10-04
A285,T3687801704100896339,Ballybay Cancer Society,20076085,2011-01-31
A286,T3884638779881716016,Leitrim Association For People With Disabilities,20034283,2007-03-28
A287,T5403229680591236861,Offaly Association for People with an Intellectual Disability,20017279,2010-06-28
A288,T7927133011665795496,Oatlands College,20144999,2018-10-01
A289,T1930164352462213014,Glenswilly N S,20116132,2011-11-23
A290,T2128351610051156728,3 T'S Limited,20054878,2004-11-01
A291,T2541448740069756575,Capuchin Provincial Account.,20009434,2019-08-01
A292,T1699312042210840137,Miniature Schnauzer Rescue Ireland,20106256,2016-06-24
A293,T2834090848798164119,Sn Mhic Dara,20122614,2015-11-26
A294,T7043196709662369276,Endometriosis Association Of Ireland,20021672,2009-10-01
A295,T2952692163961210048,Irish Scouting Fellowship,20080846,2015-12-16
A296,T6915805312443678257,Ballybay Central NS,20132460,2016-02-09
A297,T8036569754028682667,Carbery Housing Association Company Limited by Guarantee,20048174,2013-08-28
A298,T9218698862227294704,St. Joseph's National School (Miltown Malbay),20102302,2015-12-09
A299,T7104380732290224032,Sn Sailearna,20121082,2011-11-28
A300,T8812076342439878252,Sn Sailearna,20121082,2015-08-14
A301,T1915547599883041729,C.b.s. Secondary School,20146184,2014-11-13
A302,T4874009835070793231,Global Action Plan CLG,20053338,2019-06-24
A303,T3020127150508530482,80:20 Educating And Acting For A Better World Limited,20034221,2019-03-26
A304,T3717452887893959286,Irish Primary Principals' Network Limited,20063634,2014-11-13
A305,T5126877415942339667,Cappoquin Red Bridge Company Limited,20076603,2011-02-03
A306,T4606607902660203842,Sn Paroiste Maitiu Nfa,20117139,2015-11-19
A307,T6983036901690137796,St. Joseph's National School (Miltown Malbay),20102302,2015-12-09
A308,T5427332576658777092,Clontubrid Mixed N S,20125356,2019-12-01
A309,T1518103462674028885,A Sense of Cork Mid-Summer Arts Festival Limited,20075514,2011-04-11
A310,T7893178038289627802,Roscommon Safe Link Limited,20077518,2011-06-13
A311,T1660221562695539382,Glengurt N S,20127251,2015-12-01
A312,T5515211178576026254,C.B.S.,20148287,2015-10-15
A313,T7826150392367084216,Abbeydorney/Kilflynn Family Resource Centre Limited,20074968,2008-03-05
A314,T4535936541994179868,C.J. Kickham Band Limited,20048624,2016-04-25
A315,T2725078650581493418,Glenbeg N S,20136598,2015-12-01
A316,T3388827973460948153,Energy Action Limited,20024109,2015-07-22
A317,T629335573188993690,Saint Philips Church - Milltown.,20003104,2018-03-15
A318,T2840065155459434892,Dalkey Meals-On-Wheels,20014148,2013-05-08
A319,T6691783899768816426,Saint Philips Church - Milltown.,20003104,2017-04-04
A320,T7383991925381030298,Oesophageal Cancer Research Fund,20047726,2001-08-01
A321,T7077201186607904989,Cloonfad N S,20133535,2016-11-01
A322,T3238190992622797855,Legan Community Childcare Limited,20060763,2012-08-01
A323,T1439216272760453682,Irish Skin Foundation,20078706,2011-01-17
A324,T4133393113151933497,Saint Ultan's Childcare Project Limited,20070038,2015-07-14
A325,T5603625822603422423,Offaly School Of Special Education,20140588,2015-12-01
A326,T3043673305831531615,Clonmel Union,20006983,2016-12-15
A327,T1334798344443938750,Offaly Society For The Prevention Of Cruelty To Animals Limited,20033828,2009-07-01
A328,T1752060685181898024,CAP - Care After Prison Company Limited by Guarantee,20081003,2014-01-01
A329,T4507544975872178140,Sn Paroiste Maitiu Nfa,20117139,2015-11-19
A330,T7867045936470559832,Ronald McDonald House Charities (IRL),20037000,2017-06-20
A331,T8480112341375044754,Sn Naomh Proinnsias,20130312,2015-12-01
A332,T6606909441172462994,Ballinteer Community School,20148836,2014-08-01
A333,T1028313985104835281,Cloonloo Development 2000 Limited,20051273,2000-08-23
A334,T6703851482271185640,Milltown Community Council Limited,20034832,1996-10-14
A335,T5836298268217531824,Leinster Quarterly Meeting Educational Committee.,20000950,2009-11-04
A336,T3530350194516280191,Glenealy I.T. Centre Limited,20042882,1998-10-21
A337,T3530350194516280191,Glenealy Village Hall (Carnegie Trust) Company Limited by Guarantee,20038960,2009-09-08
A338,T5498080038731349359,Glenbeg N S,20136598,2014-09-01
A339,T7606449698593429672,Ballinteer Educate Together NS,20082710,2019-12-10
A340,T8308373817556510244,Cardiac Risk in the Young in Ireland Limited,20047511,2016-05-31
A341,T7709123642021399984,Roscommon Home Services Co-operative Ltd,20056827,1995-05-30
A342,T8912121862579516869,Offaly Money Advice and Budgeting Service Limited,20055745,2012-07-18
