Name,Charity,Registered Number,Date
T5129364460305291896,St. Joseph's National School (Mulhussey),20131661,2015-10-22
T8703012792280232536,Cloonbonnif N S,20133252,2015-12-01
T3871720665398579383,Roscommon S P C A,20072735,2018-01-13
T1550997473225951318,Milltown Housing Association Limited,20038397,1998-03-06
T2803929479223995285,CanTalk,20142247,2018-02-01
T4024310068235005245,St. Joseph's Foundation,20016104,2000-01-01
T6648606002094061272,Offaly County Childcare Committee Limited,20049782,2012-09-27
T7595458834110762056,Ballinrobe Family Resource Centre Limited,20061456,2013-03-01
T6574519528148715375,Cloonloo Development 2000 Limited,20051273,2000-08-23
T849319049018041565,Saint Philomena's National School,20019310,2015-12-01
T3971440716927899306,Misean Cara,20055325,2015-05-27
T7225832307027375277,Cloonfad N S,20133535,2016-11-01
T8017323709832942688,Saint Patrick's National School-Drogheda,20023232,2015-12-10
T653617521196255218,Employment Response Northwest Limited,20062880,2004-10-15
T1494658122126315981,A-Z Children Limited,20053406,2014-05-10
T7096464561672580112,Saint Patrick's College,20000066,2016-10-04
T5757394463307654183,Ballinskelligs Community Care,20047214,2004-04-01
T861402014336039243,Saint Patrick's College,20000066,2018-06-11
T7423612525028324366,Sn Na Croise Naofa,20115982,1971-01-04
T1992534046135340511,Irish Primary Principals' Network Limited,20063634,2016-01-04
T7653203867926442860,Glencar Community Resource Trust Ltd,20041663,2000-01-20
T3365629312601732703,Irish Red Cross Society,20005184,2016-07-09
T6839712141643226191,Clontibret N S,20132033,2015-11-30
T310561202983980378,Roscommon Integrated Development Company Limited T/a Roscommon LEADER Partnership,20070878,2018-02-15
T7342217556790981919,Clooncagh N S,20133627,2015-11-01
T6165408550041873926,C.B.S. James Street,20145378,2013-09-02
T6165408550041873926,St. Joseph's National School (Mulhussey),20131661,2015-10-22
T9161584163094077203,Glencree Society,20054038,1998-05-01
T8951485544997618005,Saint Peters Parish Almshouse Charity-Dublin,20022976,2018-04-30
T2742600351841199509,Ennis N S,20110536,2019-12-01
T1393525354775157274,A-Z Children Limited,20053406,2008-05-05
T5914017537558257671,Clonmore N S,20134822,2015-12-14
T3655764373331641359,Irish Skin Foundation,20078706,2015-01-01
T4870778250598685360,Saint Patrick's Missionary Society Benevolent Trust,20024468,1990-05-09
T2747879465281479018,Ballintubber N S (Mayo),20129330,2016-10-01
T2747879465281479018,Ballintubber Resource Centre Limited,20054830,2002-12-19
T411471831323921023,Roscommon Integrated Development Company Limited T/a Roscommon LEADER Partnership,20070878,2008-10-11
T4615683922491949373,TU Dublin Foundation,20045807,2006-10-04
T9209375335006546568,Saint Patrick's Loreto Primary School-Bray,20014322,2006-09-01
T7795127316269643675,Cloontagh Mixed N S,20128388,2016-01-18
T231598355100313906,Offaly Heritage Centre Limited,20025953,2011-01-01
T2565518487135956546,Ballyadams N S,20126063,2015-12-14
T1248070586218399643,Irish Rule of Law International,20073541,2015-06-30
